esp	nah
sustituir	ixiptlati
cinematografía	ixiptlayolistli
cinematografo	ixiptlayotiani
imaginación	ixiptlayotl
imagen	ixiptli
cocido	ixkali
dorar	ixkati
verbo	ixkauili
tamaño	ixkichi
tanta	ixkichi
esquí	ixkilistli
disputado	ixkomakali
concurso	ixkomakalistli
competitividad	ixkomakayotl
competencia	ixkomalistli
semblante	ixkonexilistli
particula	ixkoyan
criterio	ixkoyotl
ceja	ixkuamoli
despistado	ixkuapak
despistado	ixkuapali
embaucar	ixkuepa
engañar	ixkuepa
lagañoso	ixkuikuitlak
conocido	ixmachtli
conocer	ixmati
conocido	ixmatili
tímido	ixmauki
lidiar	ixnamiki
despedir	ixnaua
periculosis	ixokuaitl
ante	ixpan
tuerto	ixpatsak
ahuyentar	ixpeui
ciego	ixpopoyok
cegado	ixpopoyoli
cegar	ixpopoyoti
ceguera	ixpopoyotl
encandilar	ixpoyaua
israel	ixrralia
israelí	ixrralnekatl
mangle	ixtaktsin
empolvado	ixtaliuik
ojo	ixtelotli
tez	ixtetsauakak
lentes	ixteuilotl
pupila	ixteutli
caras	ixtin
descolorido	ixtisektik
efélides	ixtiseuatl
demostrar	ixtlalia
cegera	ixtlaltemilistli
razón	ixtlamachilistli
razonamiento	ixtlamakilistli
experimentar	ixtlamani
experimentar	ixtlamatia
experiencia	ixtlamatilistli
experimentado	ixtlamatini
delante	ixtlan
osado	ixtlapaltik
entorpecido	ixtlapaltilili
entorpecimiento	ixtlapaltilistli
demostración	ixtlatilistli
valle	ixtlauak
campo	ixtlauatl
campero	ixtlauatlakatl
desvelar	ixtlaui
desvelado	ixtlauik
vigilancia	ixtosolixtli
pestaña	ixtsontli
pedo	iyeli
pedorrear	iyelia
pedorro	iyelmiexini
pedorro	iyemiexini
asfixiarse	iyomiki
asfixiado	iyomikki
lucido	iyotili
castigo	iyouili
hi	j
griego	jelenatl
griego	jelenotekatl
grecia	jelenoyan
suizo	jelvetekatl
suiza	jelvetia
suizo	jelvetiatl
hidalguense	jidalgatl
hidalgo	jidalgo
hidalguense	jidaltekatl
jerusalén	jierosalima
españolismo	jispanilistli
español	jispantekatl
español	jispantlakatl
hediondo	jiyak
holandés	joladatl
holanda	jolandia
holandés	jolantekatl
ci	k
estar	ka
cacique	kachikatl
suela	kachuapali
cafetera	kafekaxitl
café	kafetsin
pues	kaj
sonido	kakalakastli
enclavarse	kakalaua
cáscara	kakalotl
bocas	kakama
carrilludo	kakamak
roncha	kakamoliuilistli
caspa	kakapaxtli
saturar	kakatsa
castaña	kakauakomitl
fama	kakauanilistli
hueco	kakauatik
cacao	kakauatl
madero	kakaxtli
desmoronar	kakayaka
desmoronado	kakayakak
burlar	kakayaua
burlado	kakayauak
burla	kakayauatl
consejo	kakilistli
disco	kakiskopinaloni
declarado	kakistili
declarar	kakistilia
resonante	kakistini
efectivamente	kakseseyane
calzar	kaktia
soledad	kaktimanilistli
zapatos	kaktin
calmado	kaktiuetsik
zapato	kaktli
callado	kaktok
descalzo	kaktonki
suela	kakxopetlatl
entrada	kalakian
egresado	kalakini
puerta	kalakoayan
puerta	kalakouayan
solar	kalali
caserío	kalan
cucaracha	kalayotl
sometido	kalchaki
constructor	kalchiuani
masonería	kalchiukamatilistli
albañil	kalchiuki
construido	kalchiutli
casero	kalej
caseros	kalejke
casa	kali
estancia	kalitik
devenir	kaliui
portal	kalixatl
portal	kalixekatl
frontera	kalixkuatl
rancho	kalixtlauatl
distancia	kalkayotl
albañil	kalketsani
alarife	kalketski
musaraña	kalkimichin
techar	kalkua
techado	kalkuatli
calcuta	kalkutan
colegio	kalmachtiloyan
construcción	kalmanalistli
arquitecto	kalmanani
arquitectónico	kalmanayo
arquitectura	kalmanayotl
salón	kalmelaktli
chofer	kalmimiloani
remolque	kalmimilolchan
autobús	kalmimiloli
esquina	kalnakastli
acceso	kalokoayan
caparazón	kalotl
hidalgo	kalpanpili
mayordomo	kalpixki
barrio	kalpoli
dialecto	kalpoltlajtoli
casucha	kalsoli
rincón	kaltechtli
zaguán	kaltemitl
puerta	kaltentli
caseta	kaltepiton
cochera	kalteposkalnejnenki
casas	kaltin
alhaja	kaltlatlakitl
prisión	kaltsakualko
callejón	kaltsalantli
bermuda	kaltsamaxtli
pantalón	kaltsatl
pantaloncillo	kaltsatontli
quijada	kamachali
mandíbula	kamachalkuauyotl
bocas	kamaktin
boca	kamaktli
trabalenguas	kamanalatoli
broma	kamanali
mitología	kamanalyotl
bromear	kamanatlajtoa
mejilla	kamapantli
bigote	kamasontli
cachete	kamatetl
boca	kamatl
bigote	kamatsontli
bogotón	kamatsonyo
maduro	kamauak
hocicón	kamaxipoli
camboya	kambodia
camboyano	kambodiatl
camerunés	kamerunekatl
camerunés	kameruniatl
camello	kameyotl
moreno	kamilektik
café	kamiltik
camioneta	kamioni
tunica	kamitl
morado	kamojpaltik
tierno	kamojtik
papa	kamojtli
berenjena	kamojtomatl
morder	kampaxoa
adonde	kan
a	kana
a	kanapa
canario	kanariotl
delgado	kanauak
sien	kanauakantli
delicadeza	kanauakayotl
espinacas	kanaukilitl
canadiense	kanautekatl
canadá	kanautlan
pato	kanautli
donde	kanik
dónde	kanin
sano	kankenami
crujido	kapani
unido	kapanki
capulín	kapolkuauitl
grosella	kapolxokotl
caracas	karakaj
ciertamente	kasaneli
efectivo	kasaneli
efectividad	kasanelistli
kazajstán	kasaxtania
kazajo	kasaxtaniatl
kazajo	kasaxtanitekatl
catalán	katalantekatl
catalán	katalatl
croar	kataloa
cataluña	katalonia
eliminar	katona
suciedad	katsaktilistli
suciedad	katsaualistli
desechar	kaualtia
quemado	kauani
escorzonera	kauaxilotl
caballo	kauayo
carrusel	kauayomalakatl
caballos	kauayomej
relinchido	kauayopipitsalistli
relinchar	kauayopipitska
equitación	kauayoseualistli
caballo	kauayotl
pastura	kauayotlakuali
establo	kauayotlakuayan
terminar	kauilia
tiempo	kauitl
adverbio	kautik
aflojar	kaxani
suelto	kaxauak
casete	kaxeti
caja	kaxitl
estallar	kaxiui
castilla	kaxtilan
cigüeña	kaxtilastatl
pimienta	kaxtilchili
castellanismo	kaxtilistli
castillo	kaxtilkali
zanahoria	kaxtilkamojtli
tuna	kaxtilkuikatl
castellanos	kaxtiltekaj
castellano	kaxtiltekatl
castellanidad	kaxtiltekayotl
castellano	kaxtiltlakatl
clavel	kaxtiltsompanxochitl
clavel	kaxtilxochitl
castellano	kaxtitl
mortero	kaxtli
diecisiete	kaxtolome
trecientos	kaxtolpoali
dieciseis	kaxtolse
costal	kayamastli
sutura	keanatsinkak
québec	kebek
quezquimel	kechkemitl
quechua	kechoatl
flamingo	kecholin
papera	kechposauilistli
cuello	kechtli
camiseta	kechxikoli
sonsacar	kekeloa
sonsacado	kekeloli
atrevido	kekexkik
apenas	kemach
sí	kemaj
cuándo	keman
como	kemej
envolver	kemiloa
manta	kemitl
como	ken
cómo	kenin
cuánto	keskin
cuántos	keskintin
parar	ketsa
parado	ketsak
grulla	ketsalastatl
esmeralda	ketsalistli
hermosura	ketsalkayotl
joya	ketsalkoskatl
bello	ketsaltik
hermosura	ketsalxilistli
calcañar	ketsoli
crin	ketsontli
chal	kexkemitl
comezón	kexkistli
comerciar	ki
llover	kiaui
lluvia	kiauitl
llover	kiautia
lluvioso	kiauyo
huerto	kilimilpan
quelite	kilitl
hortaliza	kilitlan
kilogramo	kilogramo
ratonera	kimichtlapeuali
ratoncillo	kimichtontli
gigante	kinametli
muralla	kinamitl
endemoniado	kineuki
rebelador	kinextiani
quntanarroatl	kintanarooense
después	kintepan
generación	kintlakatilistli
kinguistaní	kinuistanekatl
kinguistán	kinuistania
kinguistaní	kinuistaniatl
retoño	kiotl
kiribati	kiribatia
salir	kisa
migración	kisalistli
prosperidad	kisempakkayotl
confianza	kitemachikayotl
contratar	kitoa
tomar	kitski
agarrarse	kitskia
afuera	kiuak
cristiano	kixtiani
llover	kiyaui
tallo	kiyotl
cascabel	koakuechtli
anguila	koamichin
frambuesa	koamitl
coatepec	koatepek
serpiente	koatl
ayuntamiento	koatlakan
gemelo	koatli
coahuilense	koauilatl
coahuilense	koauiltekatl
dormir	kochi
recamara	kochiantli
cansancio	kochilistli
dormido	kochini
narcotraficante	kochipanamakak
narcotráfico	kochipatilistli
levantarse	kochitleua
dormido	kochitok
soñar	kochitta
dormitorio	kochiuayan
dormitorio	kochiyan
bostezo	kochkamachalolistli
cena	kochkayotl
dormido	kochki
dormido	kochmiki
cama	kochpan
dormitar	kochtika
dormido	kochtli
desmayarse	kochuetsi
desmayo	kochuetsilistli
sirvienta	koko
enfermar	kokoa
tubo	kokojtli
picoso	kokok
recaída	kokolilochtilistli
odiado	kokoliloli
enfermedad	kokolistli
alacranes	kokolo
impacientar	kokoloa
impaciencia	kokolotl
decaimiento	kokoloyotl
revolver	kokoltia
paladear	kokomotsa
seducir	kokonauia
seductor	kokonauiak
seducción	kokonauistli
hijos	kokone
nana	kokonetlatok
enchilar	kokosiui
coco	kokotl
despedazar	kokotona
despedazado	kokotonani
hemipléjía	kokototsautli
hospital	kokoxkali
agotamiento	kokoxkayotl
paciente	kokoxki
enfermar	kokoxkui
enfermera	kokoxsiuapixki
cóctel	kokteli
margarita	koktelxochitl
abuelo	koli
acostarse	koliui
colimense	kolmatl
colimense	kolmekatl
arrugarse	kolochaui
alacranes	kolomej
valiente	kolotik
alacrán	kolotl
coloche	kolotsin
pegarropa	kolotsinkastli
torcido	koltik
abuelos	koltin
culiacán	koluakan
colhua	koluatl
cóncavo	komak
comal	komali
comadre	komantli
ahijado	komkonetl
barranco	komoli
apasionar	komoni
comores	komoriaj
compadre	kompali
conde	konde
condón	kondoni
bebés	konene
bebé	konenetl
pediatra	konepatini
pediatra	konetisitl
niño	konetontli
bebe	konetsintli
pañal	konetsotsomatli
beber	koni
congo	konko
congoleño	konkonekatl
congoleño	konkotl
recabar	konkui
recabado	konkuitli
paladar	kopaktli
incienso	kopali
pirúl	kopalkuauitl
devolver	kopilia
devuelto	kopilili
devolución	kopililistli
contestar	kopiltlajtoa
contestación	kopiltlajtoli
molde	kopinali
zafados	kopinke
zafado	kopinki
comadreja	kosamatl
amarillento	kosauak
amarillarse	kosaui
parálisis	kosiuilistli
saturno	koskatekutli
cuna	kosoli
sialorrea	kostaktli
colera	kostalauak
amarillo	kostik
palomilla	kostipapalotontli
amarillo	kostli
canario	kostototl
roncar	kotaloa
gruñido	kotalolistli
defectuoso	kotoktik
odioso	kotoliloni
playera	kotonemastli
romper	kotoni
indecisión	kototsyotl
parásito	kouili
parásito	kouilin
cabo	kouyotl
quizá	kox
faisán	koxolitli
ancho	koyauak
coyoacán	koyoakan
agujerado	koyoktik
agujero	koyoktli
cascabel	koyoli
aguja	koyolomitl
estuche	koyomikalkali
agujerado	koyonili
agujerado	koyonki
coyotepec	koyotepek
clarín	koyotototl
comer	kua
caracol	kuachalolotl
cresta	kuachikili
tocado	kuachikkili
almohada	kuachikpali
casco	kuachimali
estandarte	kuachpantli
cabeza	kuaitl
garrocha	kuakuaminaloni
ganado	kuakuauaki
orca	kuakuauemichin
vaquero	kuakuaueni
mantequilla	kuakuaueseseyotl
cuerno	kuakuauitl
vaquería	kuakuaukali
antílope	kuakuaumasatl
ganadero	kuakuaupixki
cabrón	kuakuautensonpoli
cabra	kuakuautesontli
arbolito	kuakuauton
impaciente	kualani
enojarse	kualania
enojo	kualanilistli
enojado	kualanki
bueno	kuali
traer	kualkui
magnífico	kualnesi
belleza	kualneskayotl
bondad	kualotl
bondad	kualotli
recurrido	kualtokali
bello	kualtsin
palanca	kuamitl
guanacaste	kuanakaxtli
débil	kuanakki
cardenal	kuapixtototl
camaleón	kuatapalkatl
caspa	kuatekiskitl
yelmo	kuatepostli
mutilación	kuatetsonkalistli
paraplejia	kuatlatsonkokoli
parapléjico	kuatlatsonkokoltik
trenza	kuatsontli
artesa	kuauapastli
verja	kuauchayauak
veranda	kuauchinamitl
asiento	kuauikpali
árbol	kuauitl
zueco	kuaukaktli
baúl	kuaukaxitl
barril	kuaukomitl
iguana	kuaukuetspalin
rama	kuaumaitl
raqueta	kuaumatlatl
ramoso	kuaumayo
árboles	kuaumej
boulevard	kuauojtli
porra	kuauolotli
huapango	kuaupanko
estandarte	kuaupantli
baúl	kuaupetlakaxitl
palo	kuaupitsaktli
abono	kuausoli
corcho	kuausonektli
carreta	kuautemalakatl
guatemalteco	kuautemalatl
guatemalteco	kuautemaltekatl
tronco	kuautepontli
tocador	kuauteskakali
vitrina	kuauteuilokali
alto	kuautik
ropero	kuautilmakali
aserradero	kuautiloyan
bosque	kuautlajtli
bosque	kuautlan
acuarelas	kuautlapaloni
aserrín	kuautlasoli
pico	kuautlatsakuali
alacena	kuautlauankali
águila	kuautli
madero	kuautoli
cruz	kuautolo
brócoli	kuautontsin
palenque	kuautsakuali
palo	kuauuatsali
chapitel	kuauxauilistli
ramo	kuauxiuitl
enrramado	kuauxiuyo
aserradero	kuauxoxoutlalistli
podador	kuauyektiani
hazaña	kuauyotl
tamarindo	kuaxiloxokotl
límite	kuaxochtli
inteligente	kuayolo
cerebro	kuayolotl
lento	kuechauak
cuello	kuechtli
presión	kuejsouak
estresado	kuejsouali
pasear	kuekuepa
hormiguear	kuekueyoka
encina	kuelkitl
doblado	kuelpachoali
camellón	kuemitl
traducir	kuepa
revivido	kuepayoli
revivir	kuepayolia
retorno	kuepayotl
calzada	kuepojtli
brotar	kueponi
primaveral	kueponkayotl
vuelta	kueptli
depósito	kueskomatl
coraje	kuesoli
corajudo	kuesoli
coraje	kuesolistli
lienzo	kuetilmatli
espalda	kuetlapantli
desmayar	kuetlaui
abceso	kuetlaxsauatl
piel	kuetlaxtli
prurito	kuetsokilistli
pejelagarto	kuetspalmichin
guanajuatense	kueyatlalkatl
tomar	kui
desentonar	kuikachalania
desentonado	kuikachalaniutli
consola	kuikakaxitl
corno	kuikakuakuauitl
cancionero	kuikamatl
cantante	kuikani
compositores	kuikapixke
compositor	kuikapixki
música	kuikatlamatilistli
músico	kuikatlamatini
corrido	kuikatlayeualtili
música	kuikayotl
onix	kuikuili
jaspeado	kuikuiltik
quitar	kuilia
dibujar	kuiloa
bisexualidad	kuilonyotl
oliva	kuilotl
cagar	kuitla
inodoro	kuitlakali
cuitlacoche	kuitlakochin
abono	kuitlasoli
mierda	kuitlatl
negligencia	kuitlatskopokyotl
lomo	kuitlaxiloyotl
colon	kuitlaxkoltomaktli
acaso	kuix
maja	kuuatlatsiuki
estornudar	kuxoa
estornudo	kuxololistli
li	l
chirimoya	lamatl
chirimoya	lamatsapotl
cartílago	lamitl
latino	latinotl
latino	latintekatl
latino	latintlakatl
leonés	leoni
leonés	leontekatl
lesothiano	lesotekatl
lesotho	lesotia
lesothiano	lesototl
libano	libania
libanés	libaniatl
libanés	libantekatl
liechtenstein	lichtenstania
lisboa	lisipoa
lituania	litoania
lituano	litoaniatl
liverpool	liverpol
cutícula	lotl
portugal	lusitania
portugués	lusotekatl
portugués	lusotl
luxemburgués	luxenborgiatl
mi	m
qué	ma
dizque	machamo
probar	machilia
conocimiento	machilistli
tecla	machiomiuki
código	machionekakilistli
marcar	machiotia
signo	machiotl
alfabetizar	machiotlajtoa
alfabeto	machiotlajtololistli
teclado	machiotlakuiloni
desagradable	machistli
estudio	machitilistli
señal	machiyotl
estudiante	machtiani
estudiantes	machtianimej
universidad	machtiloyan
digno	machuastik
madagascar	madagaskaria
madagascarense	madagaskariatl
delicado	maili
mano	maitl
mezquita	majomakali
islámico	majomatlakatl
castañuelas	makakapaktli
soltar	makaua
escapar	makixtia
brazo	makoli
rama	makuayotl
pentagrama	makuilamamachiotl
cinco	makuili
cien	makuilpoali
girar	malakachoa
girador	malakachoni
patín	malakaktli
ruleta	malakapatoli
rueda	malakatl
estacionamiento	malakatlayokan
disco	malaki
malasia	malasia
malayo	malasiatekatl
malayo	malasiatl
malawi	malauia
maldivas	maldiviaj
grave	maleuakuikatl
prisionero	mali
mali	malia
malinés	maliatl
torcer	malina
malinalca	malinalkatl
torcido	malinki
malinés	malitekatl
aprisionar	malkochoa
recubrimiento	malkochtli
cautiverio	malotl
malta	malta
maltés	maltatl
maltés	maltekatl
honor	maluilokayotl
digno	maluiloni
manos	mama
asustado	mamajtilok
asustado	mamajtli
venados	mamasa
escalera	mamatlatl
manosear	mamatso
manoseado	mamatsouak
manchego	manchatekatl
manchego	manchatl
manchego	manchatlakatl
aunque	manel
natación	maneloalistli
waterpolista	maneloani
andar	manenemi
mamifero	manenemini
de	mani
manzana	mantsanatl
asir	mapachoa
dedo	mapili
falange	mapiltepostli
meñique	mapilxokoyotl
marzo	martso
cervato	masakonetl
padecer	masasiui
delirio	masasiuilistli
devanado	masasiuki
garrapata	masatemitl
manso	masatlauelej
mazahua	masauatl
ciruela	masaxokotl
macedonio	masedonekatl
macedonia	masedonia
macedonio	masedoniatl
danzar	maseua
baile	maseualistli
gente	maseualtin
plebe	maseualtin
bailarín	maseuani
danza	maseuayotl
dotado	maseukatili
macizo	masik
aunque	maski
ala	masnekapali
brazalete	matemekatl
azuela	matepostli
doce	matlakome
doncientos	matlakpoali
once	matlakse
diez	matlaktli
cucharada	matlakualxopiloni
tifoidea	matlalsauatl
matlaltzinca	matlaltsinkatl
enrredado	matlaluili
conquistar	matoma
dominado	matomali
dominante	matomani
boleibol	matopetilistli
apaludir	matsatsini
incapacidad	matsikuayotl
encuadernación	matsomalilistli
brazo	matsopastli
divorciar	matuma
contagiar	maua
miedoso	mauilili
miedo	mauilistli
divertir	mauisoa
divertido	mauisoli
diversión	mauisolistli
solemnidad	mauisotl
diversión	mauisoyotl
milagroso	mauistik
divino	mauistli
engrandecer	mauitsoa
renunciar	mauitsoltelchiua
renunciado	mauitsoltelchiuani
canonizar	mauitsotia
autoridad	mauitstikayotl
miedo	maukatilistli
cobarde	maukatlakatl
cobarde	maukatlayekoani
exclamar	maukatsa
exclamación	maukatsalistli
timidez	maukayotl
mauricio	maurisia
mauritano	mauritanekatl
mauritania	mauritania
mauritano	mauritaniatl
cobarde	mautlakatl
cobardía	mautlakayotl
bifurcado	maxaltik
machetear	maxeloa
machetero	maxeloni
machete	maxelotl
suplir	maxiltia
sustituto	maxiltiani
sustituido	maxiltili
acercarse	maxitia
calzón	maxtlatl
calzón	maxtli
maya	mayatekatl
maya	mayatl
maya	mayatlakatl
mayate	mayatli
rechazar	mayaui
rechazado	mayautli
guante	mayeuatl
mayo	mayo
amén	mayumochiua
abarca	mekakaktli
conducto	mekamalakayani
ahorcar	mekania
mecapal	mekapali
alambre	mekatepostli
cuerda	mekatl
estambre	mekatlamautli
teléfono	mekatlanonotski
quesillo	mekatlatetsautli
regente	memachiliani
agaves	memej
aguamiel	menekutli
cabeza	mesontli
maguey	metl
metlapil	metlapili
metate	metlatl
metro	metro
menstruación	metsesouilistli
mes	metspouali
levantarse	meua
levantado	meuatiketski
levantamiento	meuatiketskilistli
mexicanos	mexikaj
mexiquense	mexikanekatl
méxico	mexiko
mastuerzo	mexin
mucho	miak
muchos	miaktin
abundancia	miaktiyotl
acuario	michakaxitl
pescadería	michimakoyan
pez	michin
pesca	michmalistli
michoacano	michoakanekatl
pescador	michoakani
michoacano	michoakatl
pescador	michoani
sardina	michoatsali
charal	michsakuani
secretamente	michtakauistika
caviar	michtetl
gracioso	michtik
pececillos	michtoton
mucho	miek
pedo	miexilistli
pedorro	miexini
chismoso	mijtoak
peleador	mikalini
catarina	mikasayolin
catarina	mikasoyoli
morir	miki
mortandad	mikilistli
tanque	mikiloni
mortal	mikini
testamento	mikisnauatilistli
esqueleto	mikistetl
muerte	mikistli
muerto	mikitl
mortaja	mikkatekimiloli
sepultura	mikkatepetlakali
difunto	mikkatsintli
difunto	mikki
veneno	mikoapajtli
aljaba	mikomitl
micronesia	mikonexia
ataud	mikpetlakali
cadáver	miktetl
matar	miktia
suicidarse	miktilia
matado	miktilo
panteón	miktlampan
infierno	miktlantli
infernal	miktlayotl
balacera	miktotopotstli
mil	mil
agrícola	milakayo
agricultura	milakayotl
milán	milan
sementera	mili
labrar	milia
campesino	milkitki
parcela	milpan
agricultor	milpixki
labrador	miltlakatl
recatar	mimakti
recatado	mimaktinemini
honestidad	mimatilistli
prudente	mimatini
derecho	mimatki
enjambre	mimiauamej
apicultor	mimiautekatl
finados	mimijkatsitsintin
epilepsia	mimikilistli
rollo	mimiltik
lanza	mina
lanza	minakachali
astuto	minatini
tatarabuelo	mintontli
resina	miskikopali
mezquite	miskitl
flecha	mitl
bailarín	mitotiani
danzante	mitotiki
baile	mitotili
baile	mitotilistli
danza	mitotiyotl
fiesta	mitotl
te	mits-
botón	miuki
misa	mixa
mixe	mixetl
desprenderse	mixeui
mixiote	mixiotl
parir	mixiui
parturienta	mixiuki
nebulosa	mixkoatl
disfrazado	mixpoloki
mixtecos	mixtekaj
mixteco	mixtekatl
tenebroso	mixtekomayo
apretarse	mixtilinaltia
misteriosamente	mixtlayoltika
nube	mixtli
tu	mo-
todo	mochi
todos	mochintin
siempre	mochipan
acaecer	mochiua
asustar	mojtia
callar	mokaua
silencio	mokaualistli
callado	mokauani
silencio	mokauastli
pararse	moketsa
convertir	mokuepa
acomedido	mokuini
amollar	moleua
molcajete	molkaxitl
aflojar	molonia
alumno	momachtli
librar	momakixtilia
arrojarse	momayaui
brillantez	momochkayotl
diario	momostla
diario	momostlamoxtli
diariamente	momostlatika
diario	momostlatsinka
altar	momostli
deporte	momotlalistli
estadio	momotlalkali
deportivo	momotlalo
frotar	momotsoa
despoblado	momoyauali
mosquitos	momoyo
monaqués	monakatl
contigo	monauak
necesidad	monekilistli
necesario	monekini
pensarse	monemilia
singular	monkuamoki
suegro	montajtli
entendible	mopouak
entendible	mopoualo
mozambique	mosanpikia
mozambiqueño	mosanpikiatl
mozambiqueño	mosanpitekatl
montar	mosempoua
dispuesto	mosenkauani
reunirse	mosentlalia
presuroso	mosiuiani
resucitar	moskalia
crecer	moskalti
crecido	moskaltik
mañana	mostla
acostarse	moteka
acostado	motekak
llamarse	moteneua
rezar	moteopeyotsi
rezandero	moteopeyotsiani
rezo	moteopeyotsilistli
amparado	motetoktli
disparar	motla
asqueroso	motlailtiani
rasparse	motlakichilia
sentado	motlali
asentarse	motlalia
disparo	motlalistli
tumba	motlalkontli
correr	motlaloa
corredor	motlaloani
arrodillarse	motlankuaketsa
simulado	motlapikini
conversar	motlapouia
conversación	motlapouyotl
filosofo	motlasolistlapiani
esconderse	motlatia
posar	motlauia
decoración	motlayololistli
llamarse	motoka
sencillez	motolinkayotl
pobre	motolinki
motocicleta	motomalakatl
tranquilo	motonalui
ardillón	mototli
retirado	motsakki
taparse	motsakua
pegarse	motsikoa
vengarse	motsonkui
contigo	mouan
reñido	moueteuatli
separarse	moxexeloa
goloso	moxochipoloani
ensayar	moyekolia
ensayado	moyekolili
ensayo	moyekolistli
estar	moyetstika
dios	moyokoyani
enamorado	moyoleuki
arrepentido	moyolkuepki
mosco	moyotl
ni	n
barbacoiero	nakakoyonchiuani
barbacoa	nakakoyonki
carnal	nakakualo
territorio	nakalotiloayan
carnes	nakamej
pulpa	nakamotki
carnicero	nakanamakani
carnicería	nakanamakoyan
pañuelo	nakapoualoni
sordo	nakasatsatl
reves	nakasik
agalla	nakaskolotl
oreja	nakastli
sordo	nakastsatsatl
arrogancia	nakastsonteyotl
nacatamal	nakatamali
tenedor	nakatetekki
jamón	nakatlaoyotl
carnoso	nakayo
carnudos	nakayomej
cuerpo	nakayotl
represa	nali
pasar	nalkisa
transporte	nalkixtilistli
vendible	namakatik
vendible	namako
namibia	namibia
namibio	namibiatekatl
namibio	namibiatl
esposos	namiktin
esposo	namiktli
nana	nana
madriguera	nanchantli
rerponder	nankilia
madre	nantli
maternidad	nanyotl
abrazar	napaloa
abrazador	napaloani
abrazado	napaloli
abrazo	napalolistli
napoles	napoli
nahuas	nauaj
hacia	nauak
brujo	nauali
magía	naualotl
constituido	nauatilali
constitución	nauatilalistli
ley	nauatili
derecho	nauatilmatilistli
cortejar	nauatlajtolkuepa
sonoridad	nauayotl
cuatro	naui
ridiculizar	nauilaua
jueves	nauiluitl
crucero	nauojtli
noventa	naupoalomatlaktli
cuadro	nautlateuili
nauyaca	nauyakoatl
allí	ne
bañera	nealtikaxitl
baño	nealtimaloyan
junta	nechikali
asociado	nechikoli
conjunto	nechikolistli
purgatorio	nechipaualoyan
respiración	neijiyotilistli
respiradero	neijiyotiloni
antojería	neikoluayan
sudar	neitonalia
sudoración	neitonalistli
encomienda	neixiptlatilistli
copiadora	neixkuitilamakali
discordia	neixmakilistli
disfraz	neixpololistli
osado	neixtlapaloli
osadía	neixtlapalolistli
ese	nekaj
desmigajado	nekakayachilili
batalla	nekalilistli
mudanza	nekalpatlalistli
silencio	nekaualistli
reliquia	nekaukatl
relicario	nekaukayotl
voluntad	nekilistli
humildad	neknomatlikayotl
dolor	nekokolistli
alteración	nekomonilistli
bolos	nekuaumotlalistli
puertorriqueño	nekuiltonolakalkixoani
costarricense	nekuiltonolanauatl
costarricense	nekuiltonolanauatlakatl
conocimiento	nekuitilistli
maguey	nekumetl
pulque	nekuoktli
pastel	nekupantsin
conserva	nekutlachiuali
turrón	nekutlatepitsauali
miel	nekutli
verdad	neli
cuchara	neloani
batimiento	neloayotl
faja	nelpiloli
cierto	neltik
probable	neltililoni
probablemente	neltililostika
predicador	neltilistemachtiani
verdad	neltilistli
credo	neltokilistli
fe	neltokokayotl
creyente	neltokoni
raíz	neluatl
arraigado	neluayo
arraigar	neluayoltia
raíz	neluayotl
propósito	neluilistli
arrepentimiento	nelyolkokolistli
enseñar	nemachtia
maestro	nemachtiani
aula	nemachtilkali
escuela	nemachtiloyan
alumno	nemachtlapouki
conocimiento	nemachtokilistli
serio	nemaluali
discreción	nemataliskayotl
cautela	nematilistli
sensible	nematini
sentido	nematistli
sentido	nematiuani
delicado	nematkatili
urbanidad	nematkayotl
divorcio	nematumalistli
miedo	nemautilistli
miedoso	nemautini
satiriasis	nemekatilistli
camisa	nemetsuilistli
habitar	nemi
testamento	nemikisnauatilistli
casamiento	nemiktilistli
especular	nemilia
avance	nemililistli
historia	nemiliskayotl
mito	nemilistlatolotl
vida	nemilistli
revolcado	nemimiloli
revolcadero	nemimiloyan
jabalina	neminalistli
habitante	nemini
biología	neminilistlamatilistli
biologo	neminilistlamatini
aceleración	nemosiuilistli
agonía	nemosiuilistli
desamor	nenekilistli
disolver	neneloa
caminar	nenemi
pasaje	nenemili
pensar	nenemilia
caminata	nenemilistli
caminante	nenemini
pasajero	nenenki
lengua	nenepili
comparar	neneuila
igualdad	neneukayotl
semejante	neneuki
rebelado	nenextili
antigüedad	neneyotl
vivenda	nenkayotl
inutilidad	nenyotl
allí	nepa
nepalés	nepaltekatl
centro	nepantla
diversidad	nepanyotl
nepalés	nepatl
desconfiar	nepatla
desconfiado	nepatlali
desconfianza	nepatlalistli
desconfiado	nepatlautli
abatimiento	nepilotiuechilistli
cuaresma	nesaualispan
penitencia	nesaualistli
determinación	nesemixnauatilistli
concejo	nesentlalilistli
ligar	neseseui
ligadura	neseseuilistli
ligue	neseseuilistli
ligado	neseseutli
reposo	neseuilistli
aparecer	nesi
aparecido	nesitli
cordura	neskalikayotl
significar	neskayotia
significado	neskayotilistli
vomito	nesotlalistli
quedar	nestika
ocupado	netekipachilili
gimnasio	netekoliskoyan
esperanza	netemachikayotl
adoración	neteotilistli
adoptado	netepitsintili
adopción	netepitsintilistli
amparo	netetoktilistli
gramática	netlajtolmachitilistli
fidelidad	netlakanekilistli
fiel	netlakanekini
infidelidad	netlakanekolistli
infiel	netlakanekoni
dieta	netlakualistli
constancia	netlakuauketsalistli
reclamación	netlakuepilistli
cuidado	netlakuitlauilistli
